"Arquivo","Linha","Palavra","Classifica","Trecho"
"\src\components\admin\PortfolioForm.jsx","71","descricao","RISCO_REAL","descricao: dados.descricao,"
"\src\components\admin\PortfolioForm.jsx","71","descricao","RISCO_REAL","descricao: dados.descricao,"
"\src\components\admin\PortfolioForm.jsx","80","portfolio","PROVAVEL_SEGURO","? `/api/admin/portfolio/${projeto.id}`"
"\src\components\admin\PortfolioForm.jsx","81","portfolio","PROVAVEL_SEGURO",": ""/api/admin/portfolio"";"
"\src\components\admin\PortfolioForm.jsx","92","portfolio","PROVAVEL_SEGURO","router.push(""/admin/portfolio"");"
"\src\components\admin\PortfolioForm.jsx","106","titulo","RISCO_REAL","Titulo *"
"\src\components\admin\PortfolioForm.jsx","110","titulo","PROVAVEL_SEGURO","{...register(""titulo"")}"
"\src\components\admin\PortfolioForm.jsx","116","titulo","RISCO_REAL","{errors.titulo && ("
"\src\components\admin\PortfolioForm.jsx","117","titulo","PROVAVEL_SEGURO","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\PortfolioForm.jsx","154","descricao","RISCO_REAL","Descricao *"
"\src\components\admin\PortfolioForm.jsx","158","descricao","PROVAVEL_SEGURO","{...register(""descricao"")}"
"\src\components\admin\PortfolioForm.jsx","161","descricao","RISCO_REAL","{errors.descricao && ("
"\src\components\admin\PortfolioForm.jsx","163","descricao","RISCO_REAL","{errors.descricao.message}"
"\src\components\admin\PortfolioForm.jsx","174","portfolio","PROVAVEL_SEGURO","placeholder=""/images/portfolio/projeto-01.jpg"""
"\src\components\admin\PortfolioForm.jsx","192","portfolio","PROVAVEL_SEGURO","""/images/portfolio/projeto-01-galeria-1.jpg\n/images/portfolio/projeto-01-galeria-2.jpg"""
"\src\components\admin\PortfolioForm.jsx","192","portfolio","PROVAVEL_SEGURO","""/images/portfolio/projeto-01-galeria-1.jpg\n/images/portfolio/projeto-01-galeria-2.jpg"""
"\src\components\admin\PortfolioForm.jsx","198","portfolio","RISCO_REAL","Copie as fotos para public/images/portfolio/ e liste um caminho"
"\src\components\admin\PortfolioForm.jsx","245","portfolio","PROVAVEL_SEGURO","onClick={() => router.push(""/admin/portfolio"")}"
"\src\components\admin\PostBlogForm.jsx","10","titulo","RISCO_REAL","titulo: z.string().min(3, ""Informe o titulo""),"
"\src\components\admin\PostBlogForm.jsx","10","titulo","PROVAVEL_SEGURO","titulo: z.string().min(3, ""Informe o titulo""),"
"\src\components\admin\PostBlogForm.jsx","49","titulo","RISCO_REAL","titulo: """","
"\src\components\admin\PostBlogForm.jsx","60","titulo","RISCO_REAL","const titulo = watch(""titulo"");"
"\src\components\admin\PostBlogForm.jsx","60","titulo","PROVAVEL_SEGURO","const titulo = watch(""titulo"");"
"\src\components\admin\PostBlogForm.jsx","64","titulo","RISCO_REAL","setValue(""slug"", gerarSlug(titulo || """"));"
"\src\components\admin\PostBlogForm.jsx","66","titulo","RISCO_REAL","}, [titulo, setValue]);"
"\src\components\admin\PostBlogForm.jsx","96","titulo","RISCO_REAL","Titulo *"
"\src\components\admin\PostBlogForm.jsx","100","titulo","PROVAVEL_SEGURO","{...register(""titulo"")}"
"\src\components\admin\PostBlogForm.jsx","103","titulo","RISCO_REAL","{errors.titulo && ("
"\src\components\admin\PostBlogForm.jsx","104","titulo","PROVAVEL_SEGURO","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\PostBlogForm.jsx","123","titulo","RISCO_REAL","Gerado automaticamente a partir do titulo. Pode editar se quiser uma URL diferente."
"\src\components\admin\PostBlogForm.jsx","140","descricao","RISCO_REAL","Aparece na listagem do blog e como descricao padrão para buscadores se o Meta Descricao ficar em branco."
"\src\components\admin\PostBlogForm.jsx","140","descricao","RISCO_REAL","Aparece na listagem do blog e como descricao padrão para buscadores se o Meta Descricao ficar em branco."
"\src\components\admin\PostBlogForm.jsx","173","esta","RISCO_REAL","(upload direto ainda não esta disponivel)."
"\src\components\admin\PostBlogForm.jsx","187","titulo","RISCO_REAL","Meta titulo"
"\src\components\admin\PostBlogForm.jsx","191","titulo","PROVAVEL_SEGURO","placeholder=""Deixe em branco para usar o titulo do post"""
"\src\components\admin\PostBlogForm.jsx","198","descricao","RISCO_REAL","Meta descricao"
"\src\components\admin\Sidebar.jsx","9","portfolio","PROVAVEL_SEGURO","{ nome: ""Portfolio"", href: ""/admin/portfolio"" },"
"\src\components\admin\Sidebar.jsx","9","portfolio","PROVAVEL_SEGURO","{ nome: ""Portfolio"", href: ""/admin/portfolio"" },"
"\src\components\admin\Sidebar.jsx","23","titulo","PROVAVEL_SEGURO","<span className=""font-titulo text-branco-gelo text-lg"">AW Admin</span>"
"\src\components\sections\Ambientes.jsx","41","titulo","PROVAVEL_SEGURO","aria-labelledby=""ambientes-titulo"""
"\src\components\sections\Ambientes.jsx","49","titulo","PROVAVEL_SEGURO","id=""ambientes-titulo"""
"\src\components\sections\Ambientes.jsx","50","titulo","PROVAVEL_SEGURO","className=""font-titulo text-3xl md:text-4xl text-branco-gelo leading-tight mt-4"""
"\src\components\sections\Ambientes.jsx","60","portfolio","PROVAVEL_SEGURO","href=""#portfolio"""
"\src\components\sections\Ambientes.jsx","72","titulo","PROVAVEL_SEGURO","<h3 className=""font-titulo text-xl text-branco-gelo"">"
"\src\components\sections\Contato.jsx","63","titulo","PROVAVEL_SEGURO","aria-labelledby=""contato-titulo"""
"\src\components\sections\Contato.jsx","71","titulo","PROVAVEL_SEGURO","id=""contato-titulo"""
"\src\components\sections\Contato.jsx","72","titulo","PROVAVEL_SEGURO","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight mt-4"""
"\src\components\sections\Contato.jsx","84","titulo","PROVAVEL_SEGURO","<p className=""font-titulo text-xl text-preto-fosco"">"
"\src\components\sections\Depoimentos.jsx","16","titulo","PROVAVEL_SEGURO","aria-labelledby=""depoimentos-titulo"""
"\src\components\sections\Depoimentos.jsx","24","titulo","PROVAVEL_SEGURO","id=""depoimentos-titulo"""
"\src\components\sections\Depoimentos.jsx","25","titulo","PROVAVEL_SEGURO","className=""font-titulo text-3xl md:text-4xl text-branco-gelo leading-tight mt-4"""
"\src\components\sections\DepoimentosSwiper.jsx","31","titulo","PROVAVEL_SEGURO","<p className=""font-titulo text-xl md:text-2xl text-branco-gelo leading-relaxed italic"">"
"\src\components\sections\Faq.jsx","29","titulo","PROVAVEL_SEGURO","aria-labelledby=""faq-titulo"""
"\src\components\sections\Faq.jsx","41","titulo","PROVAVEL_SEGURO","id=""faq-titulo"""
"\src\components\sections\Faq.jsx","42","titulo","PROVAVEL_SEGURO","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight mt-4"""
"\src\components\sections\FaqAccordion.jsx","19","titulo","PROVAVEL_SEGURO","<span className=""font-titulo text-lg text-preto-fosco"">"
"\src\components\sections\Portfolio.jsx","3","portfolio","RISCO_REAL","export default async function Portfolio() {"
"\src\components\sections\Portfolio.jsx","10","portfolio","PROVAVEL_SEGURO","id=""portfolio"""
"\src\components\sections\Portfolio.jsx","12","titulo","PROVAVEL_SEGURO","aria-labelledby=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","12","portfolio","PROVAVEL_SEGURO","aria-labelledby=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","17","portfolio","RISCO_REAL","Portfolio"
"\src\components\sections\Portfolio.jsx","20","titulo","PROVAVEL_SEGURO","id=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","20","portfolio","PROVAVEL_SEGURO","id=""portfolio-titulo"""
"\src\components\sections\Portfolio.jsx","21","titulo","PROVAVEL_SEGURO","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight mt-4"""
"\src\components\sections\PortfolioGaleria.jsx","51","portfolio","PROVAVEL_SEGURO","href={`/portfolio/${projeto.slug}`}"
"\src\components\sections\PortfolioGaleria.jsx","57","titulo","RISCO_REAL","alt={projeto.titulo}"
"\src\components\sections\PortfolioGaleria.jsx","74","titulo","PROVAVEL_SEGURO","<h3 className=""font-titulo text-lg text-branco-gelo mt-1"">"
"\src\components\sections\PortfolioGaleria.jsx","75","titulo","RISCO_REAL","{projeto.titulo}"
"\src\components\sections\Processo.jsx","4","titulo","RISCO_REAL","titulo: ""Consultoria"","
"\src\components\sections\Processo.jsx","5","descricao","RISCO_REAL","descricao:"
"\src\components\sections\Processo.jsx","10","titulo","RISCO_REAL","titulo: ""Projeto"","
"\src\components\sections\Processo.jsx","11","descricao","RISCO_REAL","descricao:"
"\src\components\sections\Processo.jsx","16","titulo","RISCO_REAL","titulo: ""Aprovação"","
"\src\components\sections\Processo.jsx","17","descricao","RISCO_REAL","descricao:"
"\src\components\sections\Processo.jsx","22","titulo","RISCO_REAL","titulo: ""Produção"","
"\src\components\sections\Processo.jsx","23","descricao","RISCO_REAL","descricao:"
"\src\components\sections\Processo.jsx","28","titulo","RISCO_REAL","titulo: ""Instalação"","
"\src\components\sections\Processo.jsx","29","descricao","RISCO_REAL","descricao:"
"\src\components\sections\Processo.jsx","34","titulo","RISCO_REAL","titulo: ""Entrega"","
"\src\components\sections\Processo.jsx","35","descricao","RISCO_REAL","descricao:"
"\src\components\sections\Processo.jsx","45","titulo","PROVAVEL_SEGURO","aria-labelledby=""processo-titulo"""
"\src\components\sections\Processo.jsx","53","titulo","PROVAVEL_SEGURO","id=""processo-titulo"""
"\src\components\sections\Processo.jsx","54","titulo","PROVAVEL_SEGURO","className=""font-titulo text-3xl md:text-4xl text-branco-gelo leading-tight mt-4"""
"\src\components\sections\Processo.jsx","63","titulo","PROVAVEL_SEGURO","<span className=""font-titulo text-4xl text-dourado/60"">"
"\src\components\sections\Processo.jsx","66","titulo","PROVAVEL_SEGURO","<h3 className=""font-titulo text-xl text-branco-gelo"">"
"\src\components\sections\Processo.jsx","67","titulo","RISCO_REAL","{passo.titulo}"
"\src\components\sections\Processo.jsx","70","descricao","RISCO_REAL","{passo.descricao}"
"\src\components\sections\Sobre.jsx","9","titulo","PROVAVEL_SEGURO","aria-labelledby=""sobre-titulo"""
"\src\components\sections\Sobre.jsx","32","titulo","PROVAVEL_SEGURO","id=""sobre-titulo"""
"\src\components\sections\Sobre.jsx","33","titulo","PROVAVEL_SEGURO","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight"""
"\src\components\sections\Sobre.jsx","39","ha","RISCO_REAL","Ha mais de uma década, a AW Marcenaria transforma projetos em móveis planejados de alto padrão, combinando madeiras nobres, acabamento impecável e um processo artesanal que valoriza cada detalhe, criando ambientes únicos e atemporais."
"\src\components\site\Hero.jsx","9","titulo","RISCO_REAL","function HeroConteudo({ titulo, subtitulo, linkBotao, textoBotao }) {"
"\src\components\site\Hero.jsx","15","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-4xl md:text-6xl text-branco-gelo leading-tight mb-6"">"
"\src\components\site\Hero.jsx","16","titulo","RISCO_REAL","{titulo}"
"\src\components\site\Hero.jsx","48","titulo","RISCO_REAL","titulo={"
"\src\components\site\Hero.jsx","81","titulo","RISCO_REAL","titulo={banner.titulo}"
"\src\components\site\Hero.jsx","81","titulo","RISCO_REAL","titulo={banner.titulo}"
"\src\components\Footer.jsx","6","portfolio","PROVAVEL_SEGURO","{ nome: ""Portfolio"", href: ""/#portfolio"" },"
