"Arquivo","Linha","Palavra","Trecho"
"\src\components\sections\Processo.jsx","23","descricao","descricao:"
"\src\components\sections\Processo.jsx","28","titulo","titulo: ""Instalacao"","
"\src\components\sections\Processo.jsx","29","descricao","descricao:"
"\src\components\sections\Processo.jsx","34","titulo","titulo: ""Entrega"","
"\src\components\sections\Processo.jsx","35","descricao","descricao:"
"\src\components\sections\Processo.jsx","45","titulo","aria-labelledby=""processo-titulo"""
"\src\components\sections\Processo.jsx","53","titulo","id=""processo-titulo"""
"\src\components\sections\Processo.jsx","54","titulo","className=""font-titulo text-3xl md:text-4xl text-branco-gelo leading-tight mt-4"""
"\src\components\sections\Processo.jsx","63","titulo","<span className=""font-titulo text-4xl text-dourado/60"">"
"\src\components\sections\Processo.jsx","66","titulo","<h3 className=""font-titulo text-xl text-branco-gelo"">"
"\src\components\sections\Processo.jsx","67","titulo","{passo.titulo}"
"\src\components\sections\Processo.jsx","70","descricao","{passo.descricao}"
"\src\components\sections\Sobre.jsx","9","titulo","aria-labelledby=""sobre-titulo"""
"\src\components\sections\Sobre.jsx","32","titulo","id=""sobre-titulo"""
"\src\components\sections\Sobre.jsx","33","titulo","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight"""
"\src\components\site\Hero.jsx","9","titulo","function HeroConteudo({ titulo, subtitulo, linkBotao, textoBotao }) {"
"\src\components\site\Hero.jsx","15","titulo","<h1 className=""font-titulo text-4xl md:text-6xl text-branco-gelo leading-tight mb-6"">"
"\src\components\site\Hero.jsx","16","titulo","{titulo}"
"\src\components\site\Hero.jsx","48","titulo","titulo={"
"\src\components\site\Hero.jsx","81","titulo","titulo={banner.titulo}"
"\src\components\Footer.jsx","6","portfolio","{ nome: ""Portfolio"", href: ""/#portfolio"" },"
"\src\components\Footer.jsx","21","descricao","{/* Logo e descricao */}"
"\src\components\Footer.jsx","31","titulo","<span className=""font-titulo text-branco-gelo text-base"">"
"\src\components\Header.jsx","9","portfolio","{ nome: ""Portfolio"", href: ""/#portfolio"" },"
"\src\components\Header.jsx","44","titulo","<span className=""font-titulo text-branco-gelo text-lg tracking-wide hidden sm:inline"">"
"\src\lib\auth.js","24","usuario","const usuario = await prisma.usuario.findUnique({"
"\src\lib\auth.js","27","usuario","if (!usuario || !usuario.ativo) return null;"
"\src\lib\auth.js","31","usuario","usuario.senhaHash"
"\src\lib\auth.js","36","usuario","id: usuario.id,"
"\src\lib\auth.js","37","usuario","name: usuario.nome,"
"\src\lib\auth.js","38","usuario","email: usuario.email,"
"\src\lib\auth.js","39","usuario","papel: usuario.papel,"
